"Day","Cash On Hand"
11,576814
12,552634
13,674210
14,489824
15,400718
16,379598
17,17410
18,839328
19,618284
20,583113
21,686721
22,1037147
23,535584
24,2139084
25,2880824
26,3534790
27,3074593
28,3730816
29,3480319
30,3761973
31,3463645
32,3369606
33,6243256
34,6548885
35,8170343
36,8248471
37,7575808
38,7180113
39,7513431
40,7398930
41,7831135
42,8228770
43,8337574
44,9759008
45,12637223
46,11427558
47,11260585
48,11782265
49,12221629
50,12469810
51,11649163
52,16961286
53,19154957
54,20529072
55,20424336
56,20762927
57,21074885
58,20757303
59,22426037
60,22438351
61,22743936
62,23665245
63,24529457
64,24705744
65,27594300
66,29732219
67,28964928
68,28969079
69,30008286
70,32963299
71,35361904
72,37599250
73,38051313
74,38316432
75,40422231
76,42018814
77,41938956
78,43082253
79,44034243
80,44461397
81,46193421
82,46000347
83,47525065
84,50746455
85,52756862
86,53336105
87,53807068
88,54757140
89,55270299
90,56674270
